sequence,frame_id,pred_id,gt_id,confidence,iou,pred_bbox,bbox_center_x,bbox_center_y,bbox_depth_valid,bbox_valid_pixels,bbox_median_depth,mask_depth_valid,mask_pixel_count,mask_valid_pixels,mask_median_depth,visibility_valid,visibility,bbox_proximity_valid,mask_proximity_valid,center_score_valid,center_score,confidence_score_valid,old_candidate,followup_candidate,mask_only_candidate_possible,primary_drop_reason,all_failed_conditions,critical_case
400,1600938533486674,0,4004648,0.76757014,0.8884537496367106,"[679.503,179.441,720.0,257.799]",699,218,True,25,842.0,True,2112,2101,849.0,True,0.665560775671832,True,True,True,0.15593629362084646,True,True,True,True,INCLUDED,,BOTH_VALID_INCLUDED
400,1600938533486674,1,4004651,0.54429984,0.6320580915809251,"[702.345,252.744,719.668,315.734]",711,284,True,25,824.0,True,728,728,824.0,True,0.6671702396764191,True,True,True,0.16673019089572835,True,True,True,True,INCLUDED,,BOTH_VALID_INCLUDED
400,1600938533553308,0,4004648,0.78820735,0.8851911640293353,"[666.02,182.536,719.7,259.472]",692,221,True,25,847.0,True,2733,2723,848.0,True,0.6617554420752987,True,True,True,0.15745055746268583,True,True,True,True,INCLUDED,,BOTH_VALID_INCLUDED
400,1600938533553308,1,4004651,0.77511913,0.8561295623782896,"[689.558,234.854,719.377,319.602]",704,277,True,25,826.0,True,1874,1874,824.0,True,0.7415612940384201,True,True,True,0.1665941109733088,True,True,True,True,INCLUDED,,BOTH_VALID_INCLUDED
400,1600938533619944,0,4004651,0.86112589,0.8459323731135564,"[677.784,229.732,719.618,316.828]",698,273,True,25,821.0,True,2920,2920,819.0,True,0.8014109082756927,True,True,True,0.16688882688679774,True,True,True,True,INCLUDED,,BOTH_VALID_INCLUDED
400,1600938533619944,1,4004648,0.8380869,0.9207193292512187,"[654.804,173.977,720.0,255.83]",687,214,True,25,837.0,True,3238,3229,836.0,True,0.6067660764772592,True,True,True,0.15709381420713256,True,True,True,True,INCLUDED,,BOTH_VALID_INCLUDED
400,1600938533686583,0,4004651,0.89436966,0.8695690236128587,"[662.706,227.292,719.947,320.108]",691,273,True,25,832.0,True,4188,4162,819.0,True,0.7882729297279365,True,True,True,0.1683740004662994,True,True,True,True,INCLUDED,,BOTH_VALID_INCLUDED
400,1600938533686583,1,4004648,0.87538171,0.9116688221232001,"[640.211,175.294,720.0,255.338]",680,215,True,25,836.0,True,3896,3833,837.0,True,0.6100243106650292,True,True,True,0.15827492337377874,True,True,True,True,INCLUDED,,BOTH_VALID_INCLUDED
400,1600938533753222,0,4004651,0.90626949,0.9257974406786048,"[648.798,228.451,719.901,325.263]",684,276,True,25,811.0,True,5484,5279,821.0,True,0.7966734223120162,True,True,True,0.17038563718387417,True,True,True,True,INCLUDED,,BOTH_VALID_INCLUDED
400,1600938533753222,1,4004648,0.84380341,0.9125325098404449,"[626.186,178.913,710.385,258.955]",668,218,True,25,852.0,True,3933,3842,847.0,True,0.5835782281357721,True,True,True,0.16080822933061364,True,True,True,True,INCLUDED,,BOTH_VALID_INCLUDED
